CLB1 RESOURCE11591
CLB10 RESOURCE11021
CLB100 RESOURCE6126
CLB1000 RESOURCE60574
CLB10000 RESOURCE66049
CLB10001 RESOURCE65570
CLB10002 RESOURCE40007
CLB10003 RESOURCE39605
CLB10004 RESOURCE62582
CLB10005 RESOURCE59977
CLB10006 RESOURCE60470
CLB10007 RESOURCE55868
CLB10008 RESOURCE65071
CLB10009 RESOURCE66033
CLB1001 RESOURCE63648
CLB10010 RESOURCE61514
CLB10011 RESOURCE60001
CLB10012 RESOURCE40093
CLB10013 RESOURCE59505
CLB10014 RESOURCE64015
CLB10015 RESOURCE46557
CLB10016 RESOURCE69403
CLB10017 RESOURCE57413
CLB10018 RESOURCE69409
CLB10019 RESOURCE36165
CLB1002 RESOURCE6140
CLB10020 RESOURCE41948
CLB10021 RESOURCE56351
CLB10022 RESOURCE63058
CLB10023 RESOURCE56349
CLB10024 RESOURCE63063
CLB10025 RESOURCE52512
CLB10026 RESOURCE60483
CLB10027 RESOURCE61534
CLB10028 RESOURCE45597
CLB10029 RESOURCE60004
CLB1003 RESOURCE64138
CLB10030 RESOURCE63535
CLB10031 RESOURCE38652
CLB10032 RESOURCE69404
CLB10033 RESOURCE42108
CLB10034 RESOURCE56918
CLB10035 RESOURCE61524
CLB10036 RESOURCE68924
CLB10037 RESOURCE60003
CLB10038 RESOURCE61537
CLB10039 RESOURCE66524
CLB1004 RESOURCE64606
CLB10040 RESOURCE57389
CLB10041 RESOURCE41546
CLB10042 RESOURCE59041
CLB10043 RESOURCE62766
CLB10044 RESOURCE63533
CLB10045 RESOURCE64492
CLB10046 RESOURCE62001
CLB10047 RESOURCE11614
CLB10048 RESOURCE64512
CLB10049 RESOURCE60000
CLB1005 RESOURCE62685
CLB10050 RESOURCE67009
CLB10051 RESOURCE52496
CLB10052 RESOURCE63074
CLB10053 RESOURCE39133
CLB10054 RESOURCE61042
CLB10055 RESOURCE39613
CLB10056 RESOURCE39134
CLB10057 RESOURCE40959
