CLB1 RESOURCE733
CLB10 RESOURCE4578
CLB100 RESOURCE3625
CLB1000 RESOURCE62113
CLB10000 RESOURCE32549
CLB10001 RESOURCE33528
CLB10002 RESOURCE36627
CLB10003 RESOURCE28691
CLB10004 RESOURCE28679
CLB10005 RESOURCE31107
CLB10006 RESOURCE30621
CLB10007 RESOURCE62589
CLB10008 RESOURCE65234
CLB10009 RESOURCE62593
CLB1001 RESOURCE62112
CLB10010 RESOURCE38507
CLB10011 RESOURCE38037
CLB10012 RESOURCE36485
CLB10013 RESOURCE59046
CLB10014 RESOURCE36479
CLB10015 RESOURCE36006
CLB10016 RESOURCE33508
CLB10017 RESOURCE50986
CLB10018 RESOURCE38981
CLB10019 RESOURCE57407
CLB1002 RESOURCE61141
CLB10020 RESOURCE36959
CLB10021 RESOURCE34083
CLB10022 RESOURCE36482
CLB10023 RESOURCE33503
CLB10024 RESOURCE34089
CLB10025 RESOURCE34091
CLB10026 RESOURCE35999
CLB10027 RESOURCE36481
CLB10028 RESOURCE36962
CLB10029 RESOURCE36977
CLB1003 RESOURCE61620
CLB10030 RESOURCE38501
CLB10031 RESOURCE39109
CLB10032 RESOURCE37089
CLB10033 RESOURCE32064
CLB10034 RESOURCE59043
CLB10035 RESOURCE49052
CLB10036 RESOURCE43099
CLB10037 RESOURCE58560
CLB10038 RESOURCE26994
CLB10039 RESOURCE49543
CLB1004 RESOURCE62677
CLB10040 RESOURCE44658
CLB10041 RESOURCE56927
CLB10042 RESOURCE42451
CLB10043 RESOURCE55573
CLB10044 RESOURCE38640
CLB10045 RESOURCE33083
CLB10046 RESOURCE40093
CLB10047 RESOURCE44089
CLB10048 RESOURCE35055
CLB10049 RESOURCE55385
CLB1005 RESOURCE62686
CLB10050 RESOURCE26417
CLB10051 RESOURCE18533
CLB10052 RESOURCE25952
CLB10053 RESOURCE35547
CLB10054 RESOURCE54451
CLB10055 RESOURCE44663
CLB10056 RESOURCE40455
CLB10057 RESOURCE31133
CLB10058 RESOURCE39489
CLB10059 RESOURCE28621
CLB1006 RESOURCE62685
CLB10060 RESOURCE49236
CLB10061 RESOURCE40574
CLB10062 RESOURCE42111
CLB10063 RESOURCE42110
CLB10064 RESOURCE49547
CLB10065 RESOURCE32576
CLB10066 RESOURCE32570
CLB10067 RESOURCE32606
CLB10068 RESOURCE39622
CLB10069 RESOURCE35101
CLB1007 RESOURCE63170
CLB10070 RESOURCE38539
CLB10071 RESOURCE29665
CLB10072 RESOURCE38977
CLB10073 RESOURCE29089
CLB10074 RESOURCE41059
CLB10075 RESOURCE34124
CLB10076 RESOURCE49545
CLB10077 RESOURCE37004
CLB10078 RESOURCE34085
CLB10079 RESOURCE28151
CLB1008 RESOURCE63649
CLB10080 RESOURCE54912
CLB10081 RESOURCE50013
CLB10082 RESOURCE42438
CLB10083 RESOURCE34086
CLB10084 RESOURCE35040
CLB10085 RESOURCE53949
CLB10086 RESOURCE54903
CLB10087 RESOURCE52517
CLB10088 RESOURCE39457
CLB10089 RESOURCE41947
CLB1009 RESOURCE64598
CLB10090 RESOURCE57402
CLB10091 RESOURCE56345
CLB10092 RESOURCE55559
CLB10093 RESOURCE34572
CLB10094 RESOURCE28138
CLB10095 RESOURCE30144
CLB10096 RESOURCE46565
CLB10097 RESOURCE41975
CLB10098 RESOURCE34568
CLB10099 RESOURCE31112
CLB101 RESOURCE10537
CLB1010 RESOURCE64605
CLB10100 RESOURCE41380
CLB10101 RESOURCE56348
CLB10102 RESOURCE47551
CLB10103 RESOURCE44647
CLB10104 RESOURCE43106
CLB10105 RESOURCE54905
CLB10106 RESOURCE42464
CLB10107 RESOURCE47514
CLB10108 RESOURCE40892
CLB10109 RESOURCE39933
CLB1011 RESOURCE64119
CLB10110 RESOURCE47995
CLB10111 RESOURCE46073
CLB10112 RESOURCE56924
CLB10113 RESOURCE57399
CLB10114 RESOURCE55864
CLB10115 RESOURCE23039
CLB10116 RESOURCE45122
CLB10117 RESOURCE48486
CLB10118 RESOURCE49054
CLB10119 RESOURCE46085
CLB1012 RESOURCE63169
CLB10120 RESOURCE20060
CLB10121 RESOURCE49536
CLB10122 RESOURCE53473
CLB10123 RESOURCE21997
CLB10124 RESOURCE39599
CLB10125 RESOURCE37562
CLB10126 RESOURCE52509
CLB10127 RESOURCE52515
CLB10128 RESOURCE43575
CLB10129 RESOURCE37566
CLB1013 RESOURCE63166
CLB10130 RESOURCE37575
CLB10131 RESOURCE38969
CLB10132 RESOURCE28157
CLB10133 RESOURCE24989
CLB10134 RESOURCE21053
CLB10135 RESOURCE19117
CLB10136 RESOURCE21525
CLB10137 RESOURCE21557
CLB10138 RESOURCE38178
CLB10139 RESOURCE25442
CLB1014 RESOURCE63640
CLB10140 RESOURCE26976
CLB10141 RESOURCE26978
CLB10142 RESOURCE31617
CLB10143 RESOURCE35063
CLB10144 RESOURCE28632
CLB10145 RESOURCE38167
CLB10146 RESOURCE31151
CLB10147 RESOURCE30188
CLB10148 RESOURCE24517
CLB10149 RESOURCE24994
CLB1015 RESOURCE64126
CLB10150 RESOURCE23552
CLB10151 RESOURCE30175
CLB10152 RESOURCE24033
CLB10153 RESOURCE24521
CLB10154 RESOURCE23521
CLB10155 RESOURCE21020
CLB10156 RESOURCE20577
CLB10157 RESOURCE20553
CLB10158 RESOURCE41379
CLB10159 RESOURCE23578
CLB1016 RESOURCE64606
CLB10160 RESOURCE20082
CLB10161 RESOURCE22556
CLB10162 RESOURCE22183
CLB10163 RESOURCE23095
CLB10164 RESOURCE25963
CLB10165 RESOURCE34218
CLB10166 RESOURCE25972
CLB10167 RESOURCE25495
CLB10168 RESOURCE49712
CLB10169 RESOURCE52505
CLB1017 RESOURCE64608
CLB10170 RESOURCE53946
CLB10171 RESOURCE30180
CLB10172 RESOURCE29113
CLB10173 RESOURCE24476
CLB10174 RESOURCE24956
CLB10175 RESOURCE24478
CLB10176 RESOURCE28132
CLB10177 RESOURCE24486
CLB10178 RESOURCE24483
CLB10179 RESOURCE22557
CLB1018 RESOURCE64607
CLB10180 RESOURCE22558
CLB10181 RESOURCE21041
CLB10182 RESOURCE49540
CLB10183 RESOURCE46548
CLB10184 RESOURCE53943
CLB10185 RESOURCE39944
CLB10186 RESOURCE38634
CLB10187 RESOURCE36960
CLB10188 RESOURCE36470
CLB10189 RESOURCE39462
CLB1019 RESOURCE65182
CLB10190 RESOURCE43107
CLB10191 RESOURCE24960
CLB10192 RESOURCE24965
CLB10193 RESOURCE29131
CLB10194 RESOURCE27508
CLB10195 RESOURCE25959
CLB10196 RESOURCE49064
CLB10197 RESOURCE52522
CLB10198 RESOURCE29092
CLB10199 RESOURCE41374
CLB102 RESOURCE6120
CLB1020 RESOURCE63646
CLB10200 RESOURCE35071
CLB10201 RESOURCE27006
CLB10202 RESOURCE27009
CLB10203 RESOURCE35181
CLB10204 RESOURCE53168
CLB10205 RESOURCE42430
CLB10206 RESOURCE38166
CLB10207 RESOURCE29710
CLB10208 RESOURCE25479
CLB10209 RESOURCE25449
CLB1021 RESOURCE64127
CLB10210 RESOURCE50017
CLB10211 RESOURCE32574
CLB10212 RESOURCE37690
CLB10213 RESOURCE37022
CLB10214 RESOURCE34246
CLB10215 RESOURCE29122
CLB10216 RESOURCE28653
CLB10217 RESOURCE24026
CLB10218 RESOURCE24655
CLB10219 RESOURCE24530
CLB1022 RESOURCE63645
CLB10220 RESOURCE24051
CLB10221 RESOURCE24039
CLB10222 RESOURCE40078
CLB10223 RESOURCE26445
CLB10224 RESOURCE32110
CLB10225 RESOURCE34132
CLB10226 RESOURCE38046
CLB10227 RESOURCE50024
CLB10228 RESOURCE42433
CLB10229 RESOURCE31634
CLB1023 RESOURCE61149
CLB10230 RESOURCE38065
CLB10231 RESOURCE37534
CLB10232 RESOURCE12684
CLB10233 RESOURCE12688
CLB10234 RESOURCE12680
CLB10235 RESOURCE16158
CLB10236 RESOURCE29125
CLB10237 RESOURCE41961
CLB10238 RESOURCE23073
CLB10239 RESOURCE23526
CLB1024 RESOURCE61629
CLB10240 RESOURCE25961
CLB10241 RESOURCE25573
CLB10242 RESOURCE19696
