CLB1 RESOURCE38417
CLB10 RESOURCE39856
CLB100 RESOURCE24883
CLB1000 RESOURCE28018
CLB10000 RESOURCE36536
CLB10001 RESOURCE49106
CLB10002 RESOURCE45660
CLB10003 RESOURCE49113
CLB10004 RESOURCE48543
CLB10005 RESOURCE46624
CLB10006 RESOURCE39999
CLB10007 RESOURCE40476
CLB10008 RESOURCE39998
CLB10009 RESOURCE42494
CLB1001 RESOURCE43474
CLB10010 RESOURCE42018
CLB10011 RESOURCE42013
CLB10012 RESOURCE41437
CLB10013 RESOURCE44127
CLB10014 RESOURCE44126
CLB10015 RESOURCE43647
CLB10016 RESOURCE44122
CLB10017 RESOURCE46514
CLB10018 RESOURCE42014
CLB10019 RESOURCE40478
CLB1002 RESOURCE43475
CLB10020 RESOURCE38557
CLB10021 RESOURCE43645
CLB10022 RESOURCE44704
CLB10023 RESOURCE43646
CLB10024 RESOURCE45184
CLB10025 RESOURCE40477
CLB10026 RESOURCE39995
CLB10027 RESOURCE39996
CLB10028 RESOURCE41438
CLB10029 RESOURCE45186
CLB1003 RESOURCE39825
CLB10030 RESOURCE44124
CLB10031 RESOURCE43649
CLB10032 RESOURCE40959
CLB10033 RESOURCE42019
CLB10034 RESOURCE44707
CLB10035 RESOURCE45665
CLB10036 RESOURCE39034
CLB10037 RESOURCE39514
CLB10038 RESOURCE42015
CLB10039 RESOURCE43170
CLB1004 RESOURCE41841
CLB10040 RESOURCE39519
CLB10041 RESOURCE39035
CLB10042 RESOURCE39511
CLB10043 RESOURCE40957
CLB10044 RESOURCE40472
CLB10045 RESOURCE38077
CLB10046 RESOURCE39031
CLB10047 RESOURCE39038
CLB10048 RESOURCE39030
CLB10049 RESOURCE43537
CLB1005 RESOURCE41844
CLB10050 RESOURCE44700
CLB10051 RESOURCE44703
CLB10052 RESOURCE43171
CLB10053 RESOURCE43169
CLB10054 RESOURCE41436
CLB10055 RESOURCE39997
CLB10056 RESOURCE42491
CLB10057 RESOURCE37019
CLB10058 RESOURCE40001
CLB10059 RESOURCE42492
CLB1006 RESOURCE63000
CLB10060 RESOURCE40956
CLB10061 RESOURCE38556
CLB10062 RESOURCE37016
CLB10063 RESOURCE37015
CLB10064 RESOURCE43642
CLB10065 RESOURCE44706
CLB10066 RESOURCE43648
CLB10067 RESOURCE44121
CLB10068 RESOURCE37595
CLB10069 RESOURCE44595
CLB1007 RESOURCE43952
CLB10070 RESOURCE39041
CLB10071 RESOURCE38551
